"id","order","score","weight","color","label"
"TR",6,658,1,"#FAE38C","#cyclone"
"LIV",7.1,614,0.5,"#EAF195","#sar"
"MAR",1.3,8060,0.5,"#C32F4B","#cycloneockhi"
"CS",4,591,1,"#FB9F59","#mumbairains"
"ECO",7.3,541,0.5,"#C7E89E","#ockhicyclone"
"AO",2,1048,1,"#E1514B","#ockhi"
"NP",3,474,1,"#F47245","#kanyakumari"
"ICO",8.1,442,0.5,"#9CD6A4","#fishermen"
"LSP",8.3,425,0.5,"#6CC4A4","#hadr"
"CW",9,361,0.5,"#4D9DB4","#tamilnadu"
"FIS",1.1,214,0.5,"#9E0041","#kerala"
"HAB",10.1,211,0.5,"#4776B4","#savefisherman"
"CP",5,667,1,"#FEC574","#opshayam"
"SPP",10.3,198,0.5,"#5E4EA1","#ashes"
